region_name,file_size_mb,total_features,point_features,polygon_features,linestring_features,amenity_count,shop_count,building_count,landuse_count,highway_count,total_layers
Cherkasy,514.05,0,0,0,0,0,0,0,0,0,2
Chernihiv,465.73,0,0,0,0,0,0,0,0,0,2
Chernivci,389.73,0,0,0,0,0,0,0,0,0,2
Dnipro,566.88,0,0,0,0,0,0,0,0,0,2
Donetsk,652.98,0,0,0,0,0,0,0,0,0,2
IF,496.12,0,0,0,0,0,0,0,0,0,2
Kharkiv,530.15,0,0,0,0,0,0,0,0,0,2
Kherson,273.59,0,0,0,0,0,0,0,0,0,2
Khmelnytskiy,358.55,0,0,0,0,0,0,0,0,0,2
Kirovograd,470.32,0,0,0,0,0,0,0,0,0,2
Kyiv,769.87,0,0,0,0,0,0,0,0,0,2
Luhansk,561.22,0,0,0,0,0,0,0,0,0,2
Lviv,889.04,0,0,0,0,0,0,0,0,0,2
Mykolaiv,377.74,0,0,0,0,0,0,0,0,0,2
Odesa,988.89,0,0,0,0,0,0,0,0,0,2
Poltava,393.65,0,0,0,0,0,0,0,0,0,2
Rivne,355.62,0,0,0,0,0,0,0,0,0,2
Sumy,306.43,0,0,0,0,0,0,0,0,0,2
Ternopil,384.88,0,0,0,0,0,0,0,0,0,2
Uzhgorod,499.48,0,0,0,0,0,0,0,0,0,2
Vinnytsya,435.68,0,0,0,0,0,0,0,0,0,2
Volyn,371.6,0,0,0,0,0,0,0,0,0,2
Zaporizh,244.41,0,0,0,0,0,0,0,0,0,2
Zhytomyr,257.49,0,0,0,0,0,0,0,0,0,2
